ID,genotype,germ,ugly,petals,anthesis,final,diameter
1,GV_WT,17/02/2017,F,03/04/2017,08/04/2017,17/04/2017,15.5
2,GV_WT,17/02/2017,F,05/04/2017,09/04/2017,19/04/2017,10.3
3,GV_WT,17/02/2017,F,05/04/2017,09/04/2017,17/04/2017,12.8
4,ELF3_mutant,17/02/2017,F,13/04/2017,15/04/2017,24/04/2017,15
5,ELF3_mutant,17/02/2017,T,22/04/2017,26/04/2017,,
6,ELF3_mutant,17/02/2017,F,12/04/2017,16/04/2017,25/04/2017,11.7
7,GV_WT,17/02/2017,F,06/04/2017,10/04/2017,19/04/2017,12.5
8,GV_WT,17/02/2017,F,06/04/2017,09/04/2017,19/04/2017,9.8
9,GV_WT,17/02/2017,F,12/04/2017,16/04/2017,23/04/2017,13.4
10,ELF3_mutant,17/02/2017,F,13/04/2017,16/04/2017,25/04/2017,12.3
11,ELF3_mutant,17/02/2017,F,07/04/2017,11/04/2017,21/04/2017,10.2
12,ELF3_mutant,17/02/2017,F,12/04/2017,15/04/2017,24/04/2017,11.5
13,GV_WT,24/02/2017,F,23/04/2017,26/04/2017,,
14,GV_WT,24/02/2017,F,16/04/2017,20/04/2017,,
15,GV_WT,24/02/2017,F,24/04/2017,19/04/2017,,
16,GV_WT,24/02/2017,F,20/04/2017,,,
17,GV_WT,24/02/2017,F,16/04/2017,19/04/2017,,
18,ELF3_mutant,24/02/2017,F,25/04/2017,28/04/2017,,
19,ELF3_mutant,24/02/2017,F,25/04/2017,28/04/2017,,
20,ELF3_mutant,24/02/2017,F,23/04/2017,27/04/2017,,
21,ELF3_mutant,24/02/2017,F,22/04/2017,24/04/2017,,
